Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
585,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 9, 2026",21:41,F9B5,Success ( ASOG
586,Vandenberg,Twilight,325 kg,SSO,NASA,Success,"January 11, 2026",13:44,F9B5,Success ( LZ‑4
587,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 12, 2026",21:08,F9B5,Success ( JRTI
588,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 14, 2026",18:08,F9B5,Success ( ASOG
589,Vandenberg,NROL-105,U,LEO,NRO,Success,"January 17, 2026",04:39,F9B5,Success ( LZ‑4
590,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 18, 2026",23:31,F9B5,Success ( ASOG
591,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"January 22, 2026",05:47,F9B5,Success ( OCISLY
592,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"January 25, 2026",17:30,F9B5,Success ( OCISLY
593,Cape Canaveral,GPS III,"4,350 kg",MEO,USSF,Success,"January 28, 2026",04:53,F9B5,Success ( ASOG
594,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"January 29, 2026",17:53,F9B5,Success ( OCISLY
595,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"January 30, 2026",07:22,F9B5,Success ( JRTI
596,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"February 2, 2026",15:47,F9B5,Success ( OCISLY
597,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"February 7, 2026",20:58,F9B5,Success ( OCISLY
598,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,"February 11, 2026",17:11,F9B5,Success ( OCISLY
599,Cape Canaveral,Crew-12,"~13,000 kg",LEO,NASA,Success,"February 13, 2026",10:15,F9B5,Success ( LZ‑40
600,Vandenberg,Starlink,"~13,800 kg",SSO,SpaceX,Success,"February 15, 2026",01:59,F9B5,Success ( OCISLY
601,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"February 16, 2026",07:59,F9B5,Success ( ASOG
602,Cape Canaveral,Starlink,"~16,675 kg",LEO,SpaceX,Success,"February 20, 2026",01:41,F9B5,Success ( JRTI
603,Vandenberg,Starlink,"~14,375 kg",SSO,SpaceX,Success,"February 21, 2026",09:04,F9B5,Success ( OCISLY
